subject,theoretically_best_scores,variable,val,delta,Method
621,0.651,one_sample_scores,0.522,0.129,Covarite Model + 1 Sample
622,0.705,one_sample_scores,0.673,0.03199999999999992,Covarite Model + 1 Sample
623,0.813,one_sample_scores,0.764,0.04899999999999993,Covarite Model + 1 Sample
624,0.517,one_sample_scores,0.38,0.137,Covarite Model + 1 Sample
625,0.983,one_sample_scores,0.927,0.05599999999999994,Covarite Model + 1 Sample
626,0.984,one_sample_scores,0.951,0.03300000000000003,Covarite Model + 1 Sample
627,0.572,one_sample_scores,0.468,0.10399999999999993,Covarite Model + 1 Sample
628,0.513,one_sample_scores,0.35,0.16300000000000003,Covarite Model + 1 Sample
629,0.897,one_sample_scores,0.644,0.253,Covarite Model + 1 Sample
630,0.767,one_sample_scores,0.699,0.06800000000000006,Covarite Model + 1 Sample
631,0.961,one_sample_scores,0.908,0.052999999999999936,Covarite Model + 1 Sample
632,0.941,one_sample_scores,0.756,0.18499999999999994,Covarite Model + 1 Sample
633,0.959,one_sample_scores,0.943,0.016000000000000014,Covarite Model + 1 Sample
634,0.804,one_sample_scores,0.72,0.08400000000000007,Covarite Model + 1 Sample
635,0.846,one_sample_scores,0.735,0.11099999999999999,Covarite Model + 1 Sample
636,0.989,one_sample_scores,0.854,0.135,Covarite Model + 1 Sample
637,0.568,one_sample_scores,0.533,0.03499999999999992,Covarite Model + 1 Sample
638,0.536,one_sample_scores,0.514,0.02200000000000002,Covarite Model + 1 Sample
639,0.634,one_sample_scores,0.499,0.135,Covarite Model + 1 Sample
640,0.753,one_sample_scores,0.724,0.029000000000000026,Covarite Model + 1 Sample
641,0.95,one_sample_scores,0.819,0.131,Covarite Model + 1 Sample
642,0.802,one_sample_scores,0.802,0.0,Covarite Model + 1 Sample
643,0.896,one_sample_scores,0.88,0.016000000000000014,Covarite Model + 1 Sample
644,0.934,one_sample_scores,0.887,0.04700000000000004,Covarite Model + 1 Sample
645,0.611,one_sample_scores,0.514,0.09699999999999998,Covarite Model + 1 Sample
646,0.86,one_sample_scores,0.757,0.10299999999999998,Covarite Model + 1 Sample
647,0.692,one_sample_scores,0.552,0.1399999999999999,Covarite Model + 1 Sample
648,0.966,one_sample_scores,0.906,0.05999999999999994,Covarite Model + 1 Sample
649,0.76,one_sample_scores,0.693,0.06700000000000006,Covarite Model + 1 Sample
650,0.726,one_sample_scores,0.617,0.10899999999999999,Covarite Model + 1 Sample
651,0.508,one_sample_scores,0.451,0.056999999999999995,Covarite Model + 1 Sample
652,0.963,one_sample_scores,0.759,0.20399999999999996,Covarite Model + 1 Sample
653,0.985,one_sample_scores,0.949,0.03600000000000003,Covarite Model + 1 Sample
654,0.604,one_sample_scores,0.564,0.040000000000000036,Covarite Model + 1 Sample
655,0.841,one_sample_scores,0.76,0.08099999999999996,Covarite Model + 1 Sample
656,0.936,one_sample_scores,0.725,0.21100000000000008,Covarite Model + 1 Sample
657,0.644,one_sample_scores,0.515,0.129,Covarite Model + 1 Sample
658,0.808,one_sample_scores,0.737,0.07100000000000006,Covarite Model + 1 Sample
659,0.841,one_sample_scores,0.818,0.02300000000000002,Covarite Model + 1 Sample
660,0.716,one_sample_scores,0.606,0.10999999999999999,Covarite Model + 1 Sample
661,0.571,one_sample_scores,0.415,0.15599999999999997,Covarite Model + 1 Sample
662,0.543,one_sample_scores,0.48,0.06300000000000006,Covarite Model + 1 Sample
663,0.728,one_sample_scores,0.67,0.05799999999999994,Covarite Model + 1 Sample
664,0.774,one_sample_scores,0.644,0.13,Covarite Model + 1 Sample
665,0.989,one_sample_scores,0.908,0.08099999999999996,Covarite Model + 1 Sample
666,0.653,one_sample_scores,0.616,0.03700000000000003,Covarite Model + 1 Sample
667,0.877,one_sample_scores,0.828,0.049000000000000044,Covarite Model + 1 Sample
668,0.803,one_sample_scores,0.765,0.038000000000000034,Covarite Model + 1 Sample
669,0.753,one_sample_scores,0.734,0.019000000000000017,Covarite Model + 1 Sample
670,0.961,one_sample_scores,0.865,0.09599999999999997,Covarite Model + 1 Sample
671,0.987,one_sample_scores,0.962,0.025000000000000022,Covarite Model + 1 Sample
672,0.961,one_sample_scores,0.8,0.16099999999999992,Covarite Model + 1 Sample
673,0.693,one_sample_scores,0.546,0.1469999999999999,Covarite Model + 1 Sample
674,0.698,one_sample_scores,0.57,0.128,Covarite Model + 1 Sample
675,0.854,one_sample_scores,0.808,0.04599999999999993,Covarite Model + 1 Sample
676,0.961,one_sample_scores,0.85,0.11099999999999999,Covarite Model + 1 Sample
677,0.777,one_sample_scores,0.666,0.11099999999999999,Covarite Model + 1 Sample
678,0.627,one_sample_scores,0.507,0.12,Covarite Model + 1 Sample
679,0.695,one_sample_scores,0.655,0.039999999999999925,Covarite Model + 1 Sample
680,0.727,one_sample_scores,0.58,0.14700000000000002,Covarite Model + 1 Sample
681,0.957,one_sample_scores,0.837,0.12,Covarite Model + 1 Sample
682,0.983,one_sample_scores,0.977,0.006000000000000005,Covarite Model + 1 Sample
683,0.738,one_sample_scores,0.594,0.14400000000000002,Covarite Model + 1 Sample
684,0.819,one_sample_scores,0.697,0.122,Covarite Model + 1 Sample
685,0.701,one_sample_scores,0.669,0.03199999999999992,Covarite Model + 1 Sample
686,0.547,one_sample_scores,0.454,0.09300000000000003,Covarite Model + 1 Sample
687,0.904,one_sample_scores,0.899,0.0050000000000000044,Covarite Model + 1 Sample
688,0.917,one_sample_scores,0.849,0.06800000000000006,Covarite Model + 1 Sample
689,0.975,one_sample_scores,0.972,0.0030000000000000027,Covarite Model + 1 Sample
690,0.968,one_sample_scores,0.892,0.07599999999999996,Covarite Model + 1 Sample
691,0.723,one_sample_scores,0.544,0.17899999999999994,Covarite Model + 1 Sample
692,0.674,one_sample_scores,0.625,0.049000000000000044,Covarite Model + 1 Sample
693,0.775,one_sample_scores,0.661,0.11399999999999999,Covarite Model + 1 Sample
694,0.696,one_sample_scores,0.672,0.02399999999999991,Covarite Model + 1 Sample
695,0.837,one_sample_scores,0.587,0.25,Covarite Model + 1 Sample
696,0.908,one_sample_scores,0.809,0.09899999999999998,Covarite Model + 1 Sample
697,0.929,one_sample_scores,0.811,0.118,Covarite Model + 1 Sample
698,0.94,one_sample_scores,0.836,0.10399999999999998,Covarite Model + 1 Sample
699,0.606,one_sample_scores,0.516,0.08999999999999997,Covarite Model + 1 Sample
700,0.799,one_sample_scores,0.762,0.03700000000000003,Covarite Model + 1 Sample
701,0.68,one_sample_scores,0.562,0.118,Covarite Model + 1 Sample
702,0.987,one_sample_scores,0.966,0.02100000000000002,Covarite Model + 1 Sample
703,0.983,one_sample_scores,0.861,0.122,Covarite Model + 1 Sample
704,0.694,one_sample_scores,0.613,0.08099999999999996,Covarite Model + 1 Sample
705,0.773,one_sample_scores,0.71,0.06300000000000006,Covarite Model + 1 Sample
706,0.785,one_sample_scores,0.705,0.08000000000000007,Covarite Model + 1 Sample
707,0.685,one_sample_scores,0.552,0.133,Covarite Model + 1 Sample
708,0.784,one_sample_scores,0.706,0.07800000000000007,Covarite Model + 1 Sample
709,0.925,one_sample_scores,0.833,0.09200000000000008,Covarite Model + 1 Sample
710,0.699,one_sample_scores,0.648,0.050999999999999934,Covarite Model + 1 Sample
711,0.909,one_sample_scores,0.801,0.10799999999999998,Covarite Model + 1 Sample
712,0.598,one_sample_scores,0.561,0.03699999999999992,Covarite Model + 1 Sample
713,0.961,one_sample_scores,0.92,0.040999999999999925,Covarite Model + 1 Sample
714,0.927,one_sample_scores,0.819,0.1080000000000001,Covarite Model + 1 Sample
715,0.726,one_sample_scores,0.673,0.052999999999999936,Covarite Model + 1 Sample
716,0.988,one_sample_scores,0.886,0.10199999999999998,Covarite Model + 1 Sample
717,0.594,one_sample_scores,0.51,0.08399999999999996,Covarite Model + 1 Sample
718,0.853,one_sample_scores,0.754,0.09899999999999998,Covarite Model + 1 Sample
719,0.963,one_sample_scores,0.883,0.07999999999999996,Covarite Model + 1 Sample
720,0.987,one_sample_scores,0.947,0.040000000000000036,Covarite Model + 1 Sample
721,0.789,one_sample_scores,0.538,0.251,Covarite Model + 1 Sample
722,0.749,one_sample_scores,0.705,0.04400000000000004,Covarite Model + 1 Sample
723,0.98,one_sample_scores,0.95,0.030000000000000027,Covarite Model + 1 Sample
724,0.889,one_sample_scores,0.869,0.020000000000000018,Covarite Model + 1 Sample
725,0.67,one_sample_scores,0.611,0.05900000000000005,Covarite Model + 1 Sample
726,0.766,one_sample_scores,0.603,0.16300000000000003,Covarite Model + 1 Sample
727,0.918,one_sample_scores,0.817,0.10100000000000009,Covarite Model + 1 Sample
728,0.783,one_sample_scores,0.777,0.006000000000000005,Covarite Model + 1 Sample
729,0.481,one_sample_scores,0.473,0.008000000000000007,Covarite Model + 1 Sample
730,0.765,one_sample_scores,0.641,0.124,Covarite Model + 1 Sample
731,0.982,one_sample_scores,0.941,0.041000000000000036,Covarite Model + 1 Sample
732,0.646,one_sample_scores,0.629,0.017000000000000015,Covarite Model + 1 Sample
733,0.959,one_sample_scores,0.928,0.030999999999999917,Covarite Model + 1 Sample
734,0.807,one_sample_scores,0.765,0.04200000000000004,Covarite Model + 1 Sample
735,0.756,one_sample_scores,0.641,0.11499999999999999,Covarite Model + 1 Sample
736,0.605,one_sample_scores,0.477,0.128,Covarite Model + 1 Sample
737,0.873,one_sample_scores,0.775,0.09799999999999998,Covarite Model + 1 Sample
738,0.752,one_sample_scores,0.644,0.10799999999999998,Covarite Model + 1 Sample
739,0.888,one_sample_scores,0.752,0.136,Covarite Model + 1 Sample
740,0.872,one_sample_scores,0.847,0.025000000000000022,Covarite Model + 1 Sample
741,0.914,one_sample_scores,0.804,0.10999999999999999,Covarite Model + 1 Sample
742,0.974,one_sample_scores,0.955,0.019000000000000017,Covarite Model + 1 Sample
743,0.942,one_sample_scores,0.926,0.015999999999999903,Covarite Model + 1 Sample
744,0.765,one_sample_scores,0.568,0.19700000000000006,Covarite Model + 1 Sample
745,0.873,one_sample_scores,0.67,0.20299999999999996,Covarite Model + 1 Sample
746,0.688,one_sample_scores,0.597,0.09099999999999997,Covarite Model + 1 Sample
747,0.685,one_sample_scores,0.639,0.04600000000000004,Covarite Model + 1 Sample
748,0.988,one_sample_scores,0.89,0.09799999999999998,Covarite Model + 1 Sample
749,0.967,one_sample_scores,0.9,0.06699999999999995,Covarite Model + 1 Sample
750,0.66,one_sample_scores,0.499,0.16100000000000003,Covarite Model + 1 Sample
751,0.856,one_sample_scores,0.784,0.07199999999999995,Covarite Model + 1 Sample
752,0.983,one_sample_scores,0.827,0.15600000000000003,Covarite Model + 1 Sample
753,0.5,one_sample_scores,0.432,0.068,Covarite Model + 1 Sample
754,0.643,one_sample_scores,0.46,0.183,Covarite Model + 1 Sample
755,0.694,one_sample_scores,0.658,0.03599999999999992,Covarite Model + 1 Sample
756,0.651,one_sample_scores,0.599,0.052000000000000046,Covarite Model + 1 Sample
757,0.837,one_sample_scores,0.818,0.019000000000000017,Covarite Model + 1 Sample
758,0.887,one_sample_scores,0.71,0.17700000000000005,Covarite Model + 1 Sample
759,0.548,one_sample_scores,0.492,0.05600000000000005,Covarite Model + 1 Sample
760,0.94,one_sample_scores,0.802,0.1379999999999999,Covarite Model + 1 Sample
761,0.982,one_sample_scores,0.929,0.052999999999999936,Covarite Model + 1 Sample
762,0.577,one_sample_scores,0.51,0.06699999999999995,Covarite Model + 1 Sample
763,0.639,one_sample_scores,0.526,0.11299999999999999,Covarite Model + 1 Sample
764,0.985,one_sample_scores,0.981,0.0040000000000000036,Covarite Model + 1 Sample
765,0.987,one_sample_scores,0.988,-0.0010000000000000009,Covarite Model + 1 Sample
766,0.634,one_sample_scores,0.54,0.09399999999999997,Covarite Model + 1 Sample
767,0.976,one_sample_scores,0.834,0.14200000000000002,Covarite Model + 1 Sample
768,0.891,one_sample_scores,0.834,0.05700000000000005,Covarite Model + 1 Sample
769,0.761,one_sample_scores,0.708,0.05300000000000005,Covarite Model + 1 Sample
770,0.987,one_sample_scores,0.952,0.03500000000000003,Covarite Model + 1 Sample
771,0.753,one_sample_scores,0.603,0.15000000000000002,Covarite Model + 1 Sample
772,0.859,one_sample_scores,0.676,0.18299999999999994,Covarite Model + 1 Sample
773,0.884,one_sample_scores,0.838,0.04600000000000004,Covarite Model + 1 Sample
774,0.431,one_sample_scores,0.318,0.11299999999999999,Covarite Model + 1 Sample
775,0.714,one_sample_scores,0.607,0.10699999999999998,Covarite Model + 1 Sample
776,0.84,one_sample_scores,0.809,0.030999999999999917,Covarite Model + 1 Sample
777,0.897,one_sample_scores,0.693,0.20400000000000007,Covarite Model + 1 Sample
778,0.986,one_sample_scores,0.976,0.010000000000000009,Covarite Model + 1 Sample
779,0.782,one_sample_scores,0.777,0.0050000000000000044,Covarite Model + 1 Sample
780,0.94,one_sample_scores,0.84,0.09999999999999998,Covarite Model + 1 Sample
781,0.985,one_sample_scores,0.642,0.34299999999999997,Covarite Model + 1 Sample
782,0.844,one_sample_scores,0.784,0.05999999999999994,Covarite Model + 1 Sample
783,0.705,one_sample_scores,0.678,0.026999999999999913,Covarite Model + 1 Sample
784,0.8,one_sample_scores,0.705,0.09500000000000008,Covarite Model + 1 Sample
785,0.853,one_sample_scores,0.723,0.13,Covarite Model + 1 Sample
786,0.864,one_sample_scores,0.803,0.06099999999999994,Covarite Model + 1 Sample
787,0.686,one_sample_scores,0.658,0.028000000000000025,Covarite Model + 1 Sample
788,0.935,one_sample_scores,0.899,0.03600000000000003,Covarite Model + 1 Sample
789,0.679,one_sample_scores,0.664,0.015000000000000013,Covarite Model + 1 Sample
790,0.718,one_sample_scores,0.593,0.125,Covarite Model + 1 Sample
791,0.587,one_sample_scores,0.527,0.05999999999999994,Covarite Model + 1 Sample
792,0.742,one_sample_scores,0.594,0.14800000000000002,Covarite Model + 1 Sample
793,0.724,one_sample_scores,0.649,0.07499999999999996,Covarite Model + 1 Sample
794,0.963,one_sample_scores,0.83,0.133,Covarite Model + 1 Sample
795,0.936,one_sample_scores,0.869,0.06700000000000006,Covarite Model + 1 Sample
796,0.708,one_sample_scores,0.66,0.04799999999999993,Covarite Model + 1 Sample
797,0.968,one_sample_scores,0.891,0.07699999999999996,Covarite Model + 1 Sample
798,0.748,one_sample_scores,0.712,0.03600000000000003,Covarite Model + 1 Sample
799,0.622,one_sample_scores,0.57,0.052000000000000046,Covarite Model + 1 Sample
800,0.735,one_sample_scores,0.639,0.09599999999999997,Covarite Model + 1 Sample
801,0.965,one_sample_scores,0.938,0.027000000000000024,Covarite Model + 1 Sample
802,0.754,one_sample_scores,0.611,0.14300000000000002,Covarite Model + 1 Sample
803,0.897,one_sample_scores,0.739,0.15800000000000003,Covarite Model + 1 Sample
804,0.984,one_sample_scores,0.591,0.393,Covarite Model + 1 Sample
805,0.784,one_sample_scores,0.683,0.10099999999999998,Covarite Model + 1 Sample
806,0.666,one_sample_scores,0.629,0.03700000000000003,Covarite Model + 1 Sample
807,0.754,one_sample_scores,0.715,0.039000000000000035,Covarite Model + 1 Sample
808,0.704,one_sample_scores,0.688,0.016000000000000014,Covarite Model + 1 Sample
809,0.988,one_sample_scores,0.959,0.029000000000000026,Covarite Model + 1 Sample
810,0.539,one_sample_scores,0.517,0.02200000000000002,Covarite Model + 1 Sample
811,0.769,one_sample_scores,0.649,0.12,Covarite Model + 1 Sample
812,0.817,one_sample_scores,0.772,0.04499999999999993,Covarite Model + 1 Sample
813,0.739,one_sample_scores,0.67,0.06899999999999995,Covarite Model + 1 Sample
814,0.97,one_sample_scores,0.963,0.007000000000000006,Covarite Model + 1 Sample
815,0.607,one_sample_scores,0.595,0.01200000000000001,Covarite Model + 1 Sample
816,0.977,one_sample_scores,0.83,0.14700000000000002,Covarite Model + 1 Sample
817,0.476,one_sample_scores,0.366,0.10999999999999999,Covarite Model + 1 Sample
818,0.964,one_sample_scores,0.814,0.15000000000000002,Covarite Model + 1 Sample
819,0.929,one_sample_scores,0.923,0.006000000000000005,Covarite Model + 1 Sample
820,0.626,one_sample_scores,0.59,0.03600000000000003,Covarite Model + 1 Sample
821,0.562,one_sample_scores,0.448,0.11400000000000005,Covarite Model + 1 Sample
822,0.934,one_sample_scores,0.861,0.07300000000000006,Covarite Model + 1 Sample
823,0.559,one_sample_scores,0.53,0.029000000000000026,Covarite Model + 1 Sample
824,0.986,one_sample_scores,0.978,0.008000000000000007,Covarite Model + 1 Sample
825,0.735,one_sample_scores,0.643,0.09199999999999997,Covarite Model + 1 Sample
826,0.988,one_sample_scores,0.971,0.017000000000000015,Covarite Model + 1 Sample
827,0.73,one_sample_scores,0.681,0.04899999999999993,Covarite Model + 1 Sample
828,0.983,one_sample_scores,0.933,0.04999999999999993,Covarite Model + 1 Sample
829,0.923,one_sample_scores,0.829,0.09400000000000008,Covarite Model + 1 Sample
830,0.948,one_sample_scores,0.828,0.12,Covarite Model + 1 Sample
831,0.785,one_sample_scores,0.747,0.038000000000000034,Covarite Model + 1 Sample
832,0.873,one_sample_scores,0.87,0.0030000000000000027,Covarite Model + 1 Sample
833,0.793,one_sample_scores,0.737,0.05600000000000005,Covarite Model + 1 Sample
834,0.737,one_sample_scores,0.709,0.028000000000000025,Covarite Model + 1 Sample
835,0.752,one_sample_scores,0.75,0.0020000000000000018,Covarite Model + 1 Sample
836,0.69,one_sample_scores,0.624,0.06599999999999995,Covarite Model + 1 Sample
837,0.977,one_sample_scores,0.946,0.031000000000000028,Covarite Model + 1 Sample
838,0.977,one_sample_scores,0.88,0.09699999999999998,Covarite Model + 1 Sample
839,0.411,one_sample_scores,0.274,0.13699999999999996,Covarite Model + 1 Sample
840,0.744,one_sample_scores,0.68,0.06399999999999995,Covarite Model + 1 Sample
841,0.766,one_sample_scores,0.636,0.13,Covarite Model + 1 Sample
842,0.987,one_sample_scores,0.804,0.18299999999999994,Covarite Model + 1 Sample
843,0.743,one_sample_scores,0.579,0.16400000000000003,Covarite Model + 1 Sample
844,0.931,one_sample_scores,0.402,0.529,Covarite Model + 1 Sample
845,0.94,one_sample_scores,0.792,0.1479999999999999,Covarite Model + 1 Sample
846,0.687,one_sample_scores,0.572,0.1150000000000001,Covarite Model + 1 Sample
847,0.802,one_sample_scores,0.801,0.0010000000000000009,Covarite Model + 1 Sample
848,0.806,one_sample_scores,0.752,0.05400000000000005,Covarite Model + 1 Sample
849,0.69,one_sample_scores,0.61,0.07999999999999996,Covarite Model + 1 Sample
850,0.831,one_sample_scores,0.686,0.1449999999999999,Covarite Model + 1 Sample
851,0.654,one_sample_scores,0.497,0.15700000000000003,Covarite Model + 1 Sample
852,0.953,one_sample_scores,0.779,0.17399999999999993,Covarite Model + 1 Sample
853,0.875,one_sample_scores,0.797,0.07799999999999996,Covarite Model + 1 Sample
854,0.619,one_sample_scores,0.505,0.11399999999999999,Covarite Model + 1 Sample
855,0.699,one_sample_scores,0.658,0.040999999999999925,Covarite Model + 1 Sample
856,0.732,one_sample_scores,0.655,0.07699999999999996,Covarite Model + 1 Sample
857,0.658,one_sample_scores,0.619,0.039000000000000035,Covarite Model + 1 Sample
858,0.706,one_sample_scores,0.646,0.05999999999999994,Covarite Model + 1 Sample
859,0.648,one_sample_scores,0.503,0.14500000000000002,Covarite Model + 1 Sample
860,0.727,one_sample_scores,0.695,0.03200000000000003,Covarite Model + 1 Sample
861,0.737,one_sample_scores,0.643,0.09399999999999997,Covarite Model + 1 Sample
862,0.832,one_sample_scores,0.757,0.07499999999999996,Covarite Model + 1 Sample
863,0.78,one_sample_scores,0.778,0.0020000000000000018,Covarite Model + 1 Sample
864,0.699,one_sample_scores,0.638,0.06099999999999994,Covarite Model + 1 Sample
865,0.812,one_sample_scores,0.79,0.02200000000000002,Covarite Model + 1 Sample
866,0.868,one_sample_scores,0.822,0.04600000000000004,Covarite Model + 1 Sample
867,0.766,one_sample_scores,0.737,0.029000000000000026,Covarite Model + 1 Sample
868,0.706,one_sample_scores,0.676,0.029999999999999916,Covarite Model + 1 Sample
869,0.955,one_sample_scores,0.936,0.018999999999999906,Covarite Model + 1 Sample
870,0.85,one_sample_scores,0.8,0.04999999999999993,Covarite Model + 1 Sample
871,0.717,one_sample_scores,0.643,0.07399999999999995,Covarite Model + 1 Sample
872,0.975,one_sample_scores,0.96,0.015000000000000013,Covarite Model + 1 Sample
873,0.504,one_sample_scores,0.385,0.119,Covarite Model + 1 Sample
874,0.797,one_sample_scores,0.77,0.027000000000000024,Covarite Model + 1 Sample
875,0.977,one_sample_scores,0.836,0.14100000000000001,Covarite Model + 1 Sample
876,0.983,one_sample_scores,0.971,0.01200000000000001,Covarite Model + 1 Sample
877,0.702,one_sample_scores,0.658,0.04399999999999993,Covarite Model + 1 Sample
878,0.701,one_sample_scores,0.652,0.04899999999999993,Covarite Model + 1 Sample
879,0.781,one_sample_scores,0.696,0.08500000000000008,Covarite Model + 1 Sample
880,0.629,one_sample_scores,0.569,0.06000000000000005,Covarite Model + 1 Sample
881,0.608,one_sample_scores,0.513,0.09499999999999997,Covarite Model + 1 Sample
882,0.689,one_sample_scores,0.576,0.11299999999999999,Covarite Model + 1 Sample
883,0.89,one_sample_scores,0.821,0.06900000000000006,Covarite Model + 1 Sample
884,0.982,one_sample_scores,0.968,0.014000000000000012,Covarite Model + 1 Sample
885,0.927,one_sample_scores,0.887,0.040000000000000036,Covarite Model + 1 Sample
886,0.952,one_sample_scores,0.851,0.10099999999999998,Covarite Model + 1 Sample
887,0.661,one_sample_scores,0.632,0.029000000000000026,Covarite Model + 1 Sample
888,0.536,one_sample_scores,0.428,0.10800000000000004,Covarite Model + 1 Sample
889,0.903,one_sample_scores,0.773,0.13,Covarite Model + 1 Sample
890,0.978,one_sample_scores,0.807,0.17099999999999993,Covarite Model + 1 Sample
891,0.57,one_sample_scores,0.46,0.10999999999999993,Covarite Model + 1 Sample
892,0.97,one_sample_scores,0.858,0.11199999999999999,Covarite Model + 1 Sample
893,0.985,one_sample_scores,0.964,0.02100000000000002,Covarite Model + 1 Sample
894,0.605,one_sample_scores,0.506,0.09899999999999998,Covarite Model + 1 Sample
895,0.862,one_sample_scores,0.807,0.05499999999999994,Covarite Model + 1 Sample
896,0.987,one_sample_scores,0.924,0.06299999999999994,Covarite Model + 1 Sample
897,0.93,one_sample_scores,0.9,0.030000000000000027,Covarite Model + 1 Sample
898,0.902,one_sample_scores,0.875,0.027000000000000024,Covarite Model + 1 Sample
899,0.645,one_sample_scores,0.509,0.136,Covarite Model + 1 Sample
900,0.687,one_sample_scores,0.581,0.1060000000000001,Covarite Model + 1 Sample
901,0.83,one_sample_scores,0.781,0.04899999999999993,Covarite Model + 1 Sample
902,0.935,one_sample_scores,0.879,0.05600000000000005,Covarite Model + 1 Sample
903,0.938,one_sample_scores,0.851,0.08699999999999997,Covarite Model + 1 Sample
904,0.821,one_sample_scores,0.756,0.06499999999999995,Covarite Model + 1 Sample
905,0.623,one_sample_scores,0.508,0.11499999999999999,Covarite Model + 1 Sample
906,0.833,one_sample_scores,0.748,0.08499999999999996,Covarite Model + 1 Sample
907,0.922,one_sample_scores,0.877,0.04500000000000004,Covarite Model + 1 Sample
908,0.68,one_sample_scores,0.678,0.0020000000000000018,Covarite Model + 1 Sample
909,0.739,one_sample_scores,0.712,0.027000000000000024,Covarite Model + 1 Sample
910,0.781,one_sample_scores,0.716,0.06500000000000006,Covarite Model + 1 Sample
911,0.733,one_sample_scores,0.664,0.06899999999999995,Covarite Model + 1 Sample
912,0.646,one_sample_scores,0.619,0.027000000000000024,Covarite Model + 1 Sample
913,0.746,one_sample_scores,0.733,0.013000000000000012,Covarite Model + 1 Sample
914,0.974,one_sample_scores,0.956,0.018000000000000016,Covarite Model + 1 Sample
915,0.774,one_sample_scores,0.77,0.0040000000000000036,Covarite Model + 1 Sample
916,0.947,one_sample_scores,0.931,0.015999999999999903,Covarite Model + 1 Sample
917,0.986,one_sample_scores,0.9,0.08599999999999997,Covarite Model + 1 Sample
918,0.542,one_sample_scores,0.432,0.11000000000000004,Covarite Model + 1 Sample
919,0.944,one_sample_scores,0.86,0.08399999999999996,Covarite Model + 1 Sample
920,0.984,one_sample_scores,0.78,0.20399999999999996,Covarite Model + 1 Sample
921,0.715,one_sample_scores,0.629,0.08599999999999997,Covarite Model + 1 Sample
922,0.922,one_sample_scores,0.876,0.04600000000000004,Covarite Model + 1 Sample
923,0.916,one_sample_scores,0.888,0.028000000000000025,Covarite Model + 1 Sample
924,0.686,one_sample_scores,0.577,0.1090000000000001,Covarite Model + 1 Sample
925,0.98,one_sample_scores,0.978,0.0020000000000000018,Covarite Model + 1 Sample
926,0.98,one_sample_scores,0.948,0.03200000000000003,Covarite Model + 1 Sample
927,0.787,one_sample_scores,0.604,0.18300000000000005,Covarite Model + 1 Sample
928,0.539,one_sample_scores,0.42,0.11900000000000005,Covarite Model + 1 Sample
929,0.916,one_sample_scores,0.74,0.17600000000000005,Covarite Model + 1 Sample
930,0.672,one_sample_scores,0.523,0.14900000000000002,Covarite Model + 1 Sample
931,0.768,one_sample_scores,0.681,0.08699999999999997,Covarite Model + 1 Sample
932,0.839,one_sample_scores,0.704,0.135,Covarite Model + 1 Sample
933,0.899,one_sample_scores,0.89,0.009000000000000008,Covarite Model + 1 Sample
934,0.979,one_sample_scores,0.97,0.009000000000000008,Covarite Model + 1 Sample
935,0.938,one_sample_scores,0.726,0.21199999999999997,Covarite Model + 1 Sample
936,0.988,one_sample_scores,0.957,0.031000000000000028,Covarite Model + 1 Sample
937,0.693,one_sample_scores,0.646,0.04699999999999993,Covarite Model + 1 Sample
938,0.961,one_sample_scores,0.823,0.138,Covarite Model + 1 Sample
939,0.529,one_sample_scores,0.391,0.138,Covarite Model + 1 Sample
940,0.976,one_sample_scores,0.857,0.119,Covarite Model + 1 Sample
941,0.8,one_sample_scores,0.674,0.126,Covarite Model + 1 Sample
942,0.469,one_sample_scores,0.362,0.10699999999999998,Covarite Model + 1 Sample
943,0.718,one_sample_scores,0.667,0.050999999999999934,Covarite Model + 1 Sample
944,0.873,one_sample_scores,0.844,0.029000000000000026,Covarite Model + 1 Sample
945,0.609,one_sample_scores,0.56,0.04899999999999993,Covarite Model + 1 Sample
946,0.871,one_sample_scores,0.791,0.07999999999999996,Covarite Model + 1 Sample
947,0.777,one_sample_scores,0.696,0.08100000000000007,Covarite Model + 1 Sample
948,0.981,one_sample_scores,0.811,0.16999999999999993,Covarite Model + 1 Sample
949,0.819,one_sample_scores,0.663,0.15599999999999992,Covarite Model + 1 Sample
950,0.757,one_sample_scores,0.652,0.10499999999999998,Covarite Model + 1 Sample
951,0.985,one_sample_scores,0.901,0.08399999999999996,Covarite Model + 1 Sample
952,0.782,one_sample_scores,0.74,0.04200000000000004,Covarite Model + 1 Sample
953,0.919,one_sample_scores,0.856,0.06300000000000006,Covarite Model + 1 Sample
954,0.754,one_sample_scores,0.672,0.08199999999999996,Covarite Model + 1 Sample
955,0.797,one_sample_scores,0.739,0.05800000000000005,Covarite Model + 1 Sample
956,0.574,one_sample_scores,0.496,0.07799999999999996,Covarite Model + 1 Sample
957,0.735,one_sample_scores,0.68,0.05499999999999994,Covarite Model + 1 Sample
958,0.976,one_sample_scores,0.956,0.020000000000000018,Covarite Model + 1 Sample
959,0.726,one_sample_scores,0.62,0.10599999999999998,Covarite Model + 1 Sample
960,0.977,one_sample_scores,0.849,0.128,Covarite Model + 1 Sample
961,0.815,one_sample_scores,0.638,0.17699999999999994,Covarite Model + 1 Sample
962,0.8,one_sample_scores,0.728,0.07200000000000006,Covarite Model + 1 Sample
963,0.798,one_sample_scores,0.79,0.008000000000000007,Covarite Model + 1 Sample
964,0.909,one_sample_scores,0.842,0.06700000000000006,Covarite Model + 1 Sample
965,0.696,one_sample_scores,0.581,0.11499999999999999,Covarite Model + 1 Sample
